coin,score,tp,sl,hold,drop_min,drop_max,vol_z_max,vol_mult,vol_win,pnl,trades,winrate,max_dd,avg_ret,med_ret,coin_sym,symbol,id,market_cap,name,log_mcap,mcap_bin
VVV,0.4370792655094148,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.4680390285344005,49,0.8775510204081632,-0.0619195260499713,0.0079897959183672,0.0134999999999999,vvv,vvv,venice-token,130149144.0,Venice Token,8.114441316069541,"[8, 9)"
MELANIA,0.2794956769156546,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.3117883407492738,53,0.6415094339622641,-0.0645853276672384,0.0052289246296703,0.0134999999999999,melania,melania,melania-meme,135976087.0,Melania Meme,8.133462539274044,"[8, 9)"
ZK,0.2504513542845839,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.2954824887707643,58,0.7241379310344828,-0.0900622689723608,0.0046135181998103,0.0134999999999999,zk,zk,zksync,274131644.0,ZKsync,8.437959170604671,"[8, 9)"
PENGU,0.2500825068824205,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.2747160930071708,46,0.782608695652174,-0.0492671722495006,0.0054338209776173,0.0134999999999999,pengu,pengu,pudgy-penguins,645354009.0,Pudgy Penguins,8.809798012277666,"[8, 9)"
PENDLE,0.2478876158360956,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.2694307883882345,40,0.7,-0.0430863451042777,0.0061057269881409,0.0134999999999999,pendle,pendle,pendle,321963931.0,Pendle,8.5078072212453,"[8, 9)"
SYRUP,0.2229175062181684,0.01,0.03,32,0.005,0.05,0.6,2.0,20,0.2445480354688252,54,0.7962962962962963,-0.0432610585013135,0.0041300835168581,0.0085,syrup,syrup,syrup,411463561.0,Maple Finance,8.614331380356688,"[8, 9)"
GALA,0.2128324011215602,0.015,0.015,32,0.005,0.05,0.6,2.0,20,0.2226548145837383,32,0.6875,-0.0196448269243562,0.0063820803385633,0.0134999999999999,gala,gala,gala,313103290.0,GALA,8.495687631083344,"[8, 9)"
BRETT,0.1969942383683335,0.01,0.03,32,0.005,0.05,0.6,2.0,20,0.2279540013933192,57,0.8421052631578947,-0.0619195260499713,0.0036937181589377,0.0085,brett,brett,based-brett,146725110.0,Brett,8.166504443776853,"[8, 9)"
EIGEN,0.1919399052017457,0.01,0.03,24,0.005,0.05,0.6,2.0,20,0.2076671323892458,49,0.8571428571428571,-0.0314544543750001,0.0039363139649914,0.0085,eigen,eigen,eigenlayer,187022584.0,EigenCloud (prev. EigenLayer),8.271894053137377,"[8, 9)"
WIF,0.1909872304111018,0.015,0.02,32,0.005,0.05,0.6,2.0,20,0.2122262105462875,48,0.625,-0.0424779602703713,0.0041248794436304,0.0134999999999999,wif,wif,dogwifcoin,343483692.0,dogwifhat,8.535906122348873,"[8, 9)"
INJ,0.1692680188005289,0.015,0.02,24,0.005,0.05,0.6,2.0,20,0.1905069989357146,36,0.5555555555555556,-0.0424779602703714,0.0049344966826752,0.0134999999999999,inj,inj,injective-protocol,467719758.0,Injective,8.66998571630391,"[8, 9)"
ETHFI,0.1657374885155489,0.01,0.015,32,0.005,0.05,0.6,2.0,20,0.173975961484299,41,0.8048780487804879,-0.0164769459375001,0.0039720506027323,0.0085,ethfi,ethfi,ether-fi,451696573.0,Ether.fi,8.654846795602715,"[8, 9)"
XPL,0.1572314304288763,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.1919216290666678,59,0.6779661016949152,-0.0693803972755831,0.0031295579964326,0.0134999999999999,xpl,xpl,plasma,269424408.0,Plasma,8.430436937265009,"[8, 9)"
SEI,0.1390651878443449,0.015,0.015,16,0.005,0.05,0.6,2.0,20,0.1502184444974419,31,0.4516129032258064,-0.022306513306194,0.0045814872855748,0.0063644397600129,sei,sei,sei-network,726321118.0,Sei,8.861128671584687,"[8, 9)"
JTO,0.1358100232558576,0.015,0.006,8,0.005,0.05,0.6,2.0,20,0.1440840444415096,46,0.4130434782608695,-0.0165480423713041,0.0029840759858408,0.0031916575353178,jto,jto,jito-governance-token,151139283.0,Jito,8.179377357607295,"[8, 9)"
SNX,0.1354547346599647,0.015,0.015,24,0.005,0.05,0.6,2.0,20,0.1522971199829812,36,0.5833333333333334,-0.033684770646033,0.0040304475748333,0.0134999999999999,snx,snx,havven,151863580.0,Synthetix,8.181453633629078,"[8, 9)"
DYDX,0.1347273286890008,0.015,0.02,32,0.005,0.05,0.6,2.0,20,0.1701244261367263,47,0.574468085106383,-0.0707941948954509,0.0034522221513833,0.0134999999999999,dydx,dydx,dydx-chain,144982373.0,dYdX,8.161315203792347,"[8, 9)"
SPX,0.1310185053786656,0.015,0.02,32,0.005,0.05,0.6,2.0,20,0.1763903710318382,67,0.6567164179104478,-0.090743731306345,0.0025592948675168,0.0134999999999999,spx,spx,spx6900,463494523.0,SPX6900,8.666044606560492,"[8, 9)"
LDO,0.1305166581352788,0.008,0.03,32,0.005,0.05,0.6,2.0,20,0.146243885322779,40,0.8,-0.0314544543750002,0.0034546697070922,0.0065,ldo,ldo,lido-dao,464689847.0,Lido DAO,8.667163183690306,"[8, 9)"
APE,0.1262068914877572,0.015,0.01,8,0.005,0.05,0.6,2.0,20,0.1376253883958116,42,0.4047619047619047,-0.0228369938161088,0.0031328938557134,0.0052184869279852,ape,ape,apecoin,181215453.0,ApeCoin,8.258195229027752,"[8, 9)"
CRV,0.1247109431809184,0.015,0.015,24,0.005,0.05,0.6,2.0,20,0.174320279797038,44,0.5454545454545454,-0.0992186732322392,0.0037487226766406,0.0134999999999999,crv,crv,curve-dao-token,573510139.0,Curve DAO,8.758541100132367,"[8, 9)"
MINA,0.1234095082027762,0.015,0.02,16,0.005,0.05,0.6,2.0,20,0.1354283268117029,30,0.4666666666666667,-0.0240376372178533,0.0043066362395775,0.0079131144851614,mina,mina,mina-protocol,107237290.0,Mina Protocol,8.030345830367565,"[8, 9)"
CFX,0.1215484326730317,0.015,0.015,32,0.005,0.05,0.6,2.0,20,0.1409457386530803,36,0.5277777777777778,-0.0387946119600972,0.0037500349293213,0.0134999999999999,cfx,cfx,conflux-token,377139576.0,Conflux,8.576502108477145,"[8, 9)"
FET,0.1182983082715471,0.015,0.015,16,0.005,0.05,0.6,2.0,20,0.1299536022225802,39,0.4871794871794871,-0.023310587902066,0.0032186635223336,0.009187443977108,fet,fet,fetch-ai,559462704.0,Artificial Superintelligence Alliance,8.74777114003885,"[8, 9)"
ENS,0.1110161509199451,0.01,0.02,32,0.005,0.05,0.6,2.0,20,0.1224085989734351,30,0.7666666666666667,-0.0227848961069799,0.0039109031884199,0.0085,ens,ens,ethereum-name-service,363339505.0,Ethereum Name Service,8.56031262018797,"[8, 9)"
PYTH,0.1094935027390713,0.015,0.03,16,0.005,0.05,0.6,2.0,20,0.1300880461857585,26,0.6153846153846154,-0.0411890868933743,0.0048172914708549,0.0134999999999999,pyth,pyth,pyth-network,341087198.0,Pyth Network,8.532865419371353,"[8, 9)"
BSV,0.0897404662194598,0.01,0.01,32,0.005,0.05,0.6,2.0,20,0.0954826877819599,15,0.8,-0.011484443125,0.0061256463957587,0.0085,bsv,bsv,bitcoin-cash-sv,383139010.0,Bitcoin SV,8.583356372722383,"[8, 9)"
JUP,0.0881863947784513,0.01,0.015,32,0.005,0.05,0.6,2.0,20,0.1124968157245061,47,0.6808510638297872,-0.0486208418921094,0.0023276669153439,0.0085,jup,jup,jupiter-exchange-solana,637455577.0,Jupiter,8.804449925049541,"[8, 9)"
MOVE,0.0869295638063997,0.015,0.015,32,0.005,0.05,0.6,2.0,20,0.1112399847524545,43,0.5813953488372093,-0.0486208418921095,0.00255391128606,0.0134999999999999,move,move,movement,115489945.0,Movement,8.062544174521612,"[8, 9)"
SUPER,0.0843277911213929,0.015,0.03,4,0.005,0.05,0.6,2.0,20,0.0984450759911781,33,0.3333333333333333,-0.0282345697395703,0.0029003713487335,0.001544900927104,super,super,superfarm,126757649.0,SuperVerse,8.10297417564452,"[8, 9)"
ZRO,0.0824083930396327,0.01,0.015,16,0.005,0.05,0.6,2.0,20,0.0991010685716806,41,0.6341463414634146,-0.0333853510640959,0.0023543252075055,0.0085,zro,zro,layerzero,338553419.0,LayerZero,8.529627204030167,"[8, 9)"
NEO,0.0801311458613731,0.01,0.02,16,0.005,0.05,0.6,2.0,20,0.0844547581882391,19,0.5263157894736842,-0.0086472246537319,0.0043005327984343,0.0085,neo,neo,neo,262033195.0,NEO,8.418356312282095,"[8, 9)"
2Z,0.0793838613459156,0.015,0.02,16,0.005,0.05,0.6,2.0,20,0.0987212358717986,39,0.4871794871794871,-0.0386747490517659,0.0025072815504914,0.0095652498463159,2z,2z,doublezero,415077649.0,DoubleZero,8.618129348224802,"[8, 9)"
AXS,0.0750852976659419,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.1301209754047569,52,0.6730769230769231,-0.1100713554776301,0.0025325095994238,0.0134999999999999,axs,axs,axie-infinity,291900976.0,Axie Infinity,8.465235547097318,"[8, 9)"
COMP,0.0747208636096039,0.01,0.03,24,0.005,0.05,0.6,2.0,20,0.0870008608171368,25,0.68,-0.0245599944150658,0.0033896464464641,0.0085,comp,comp,compound-governance-token,244218042.0,Compound,8.387777744996267,"[8, 9)"
LIT,0.0729820302111216,0.01,0.03,16,0.005,0.05,0.6,2.0,20,0.1070321422220144,56,0.8214285714285714,-0.0681002240217855,0.0019309665468722,0.0085,lit,lit,lighter,419231831.0,Lighter,8.622454249888914,"[8, 9)"
MORPHO,0.0726720215993121,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.0940606851508516,27,0.5555555555555556,-0.0427773271030789,0.0034333741206922,0.0134999999999999,morpho,morpho,morpho,693129556.0,Morpho,8.840814418157484,"[8, 9)"
W,0.0709043759886492,0.008,0.015,16,0.005,0.05,0.6,2.0,20,0.0840951987937792,42,0.7142857142857143,-0.0263816456102599,0.0019633968465571,0.0065,w,w,wormhole,172982233.0,Wormhole,8.238001499046096,"[8, 9)"
GRASS,0.0634489044389595,0.01,0.02,16,0.005,0.05,0.6,2.0,20,0.084687884574145,49,0.6530612244897959,-0.0424779602703709,0.0017271024354186,0.0085,grass,grass,grass,130824237.0,Grass,8.116688210503956,"[8, 9)"
OP,0.0591953892212658,0.015,0.015,4,0.005,0.05,0.6,2.0,20,0.0736912347054212,39,0.2307692307692307,-0.0289916909683107,0.001870085981073,0.0025529486130733,op,op,optimism,606428082.0,Optimism,8.78277930406077,"[8, 9)"
AR,0.0590189422744872,0.015,0.006,24,0.005,0.05,0.6,2.0,20,0.078215710901468,43,0.3953488372093023,-0.0383935372539615,0.0018081959018749,-0.0075,ar,ar,arweave,248047541.0,Arweave,8.394534926048985,"[8, 9)"
RUNE,0.0559602860919756,0.01,0.015,32,0.005,0.05,0.6,2.0,20,0.0702872338458382,20,0.75,-0.0286538955077251,0.0034498416064431,0.0085,rune,rune,thorchain,221263878.0,THORChain,8.344910519820939,"[8, 9)"
STX,0.0514853898487959,0.01,0.015,8,0.005,0.05,0.6,2.0,20,0.0645172481831952,43,0.5348837209302325,-0.0260637166687986,0.0014981500807232,0.0085,stx,stx,blockstack,577288470.0,Stacks,8.761392883558944,"[8, 9)"
ME,0.0492322628388905,0.015,0.03,32,0.005,0.05,0.6,2.0,20,0.0872529408318212,34,0.6176470588235294,-0.0760413559858613,0.0025934128481441,0.0134999999999999,me,me,magic-eden,108675080.0,Magic Eden,8.03612996856424,"[8, 9)"
DASH,0.0430824338493165,0.015,0.015,24,0.005,0.05,0.6,2.0,20,0.0903024407464339,58,0.603448275862069,-0.0944400137942347,0.001603448275862,0.0134999999999999,dash,dash,dash,986104504.0,Dash,8.993922942431627,"[8, 9)"
S,0.0383812772493339,0.01,0.015,32,0.005,0.05,0.6,2.0,20,0.0625559476804356,44,0.6136363636363636,-0.0483493408622033,0.0014375542268898,0.0085,s,s,sonic-3,279094678.0,Sonic,8.4457515550939,"[8, 9)"
IOTA,0.0370325038680503,0.015,0.01,8,0.005,0.05,0.6,2.0,20,0.0484510007761047,27,0.2222222222222222,-0.0228369938161088,0.0017987405785465,0.0031751264192348,iota,iota,iota,364295085.0,IOTA,8.561453311862893,"[8, 9)"
TIA,0.0346309491711694,0.015,0.03,24,0.005,0.05,0.6,2.0,20,0.068624340548582,49,0.5510204081632653,-0.067986782754825,0.001504245381368,0.0134999999999999,tia,tia,celestia,427058806.0,Celestia,8.630487681495406,"[8, 9)"
BERA,0.0248133469783053,0.01,0.03,24,0.005,0.05,0.6,2.0,20,0.0706872598154906,55,0.7454545454545455,-0.0917478256743704,0.001342738862681,0.0085,bera,bera,berachain-bera,136352210.0,Berachain,8.134662181390423,"[8, 9)"
GAS,0.0229859282368551,0.015,0.006,24,0.005,0.05,0.6,2.0,20,0.0347168126984827,26,0.3461538461538461,-0.0234617689232551,0.0013643965676693,-0.0060898994622398,gas,gas,gas,126156810.0,Gas,8.100910698893193,"[8, 9)"
